REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
cut_data/Real/cln_et/t21c0201.wav	 workspace/enh_wavs/test2/real/t21c0201.enh.wav	 SQValue=2.089	 2.089	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t21c0202.wav	 workspace/enh_wavs/test2/real/t21c0202.enh.wav	 SQValue=1.752	 1.752	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t21c0204.wav	 workspace/enh_wavs/test2/real/t21c0204.enh.wav	 SQValue=2.110	 2.110	 0.000	 0	 16000	-0.0080
 cut_data/Real/cln_et/t21c0205.wav	 workspace/enh_wavs/test2/real/t21c0205.enh.wav	 SQValue=2.139	 2.139	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t21c0209.wav	 workspace/enh_wavs/test2/real/t21c0209.enh.wav	 SQValue=1.823	 1.823	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t21c020b.wav	 workspace/enh_wavs/test2/real/t21c020b.enh.wav	 SQValue=2.040	 2.040	 0.000	 0	 16000	-0.0040
 cut_data/Real/cln_et/t21c020d.wav	 workspace/enh_wavs/test2/real/t21c020d.enh.wav	 SQValue=2.118	 2.118	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t21c020e.wav	 workspace/enh_wavs/test2/real/t21c020e.enh.wav	 SQValue=2.370	 2.370	 0.000	 0	 16000	-0.0080
 cut_data/Real/cln_et/t21c020g.wav	 workspace/enh_wavs/test2/real/t21c020g.enh.wav	 SQValue=1.663	 1.663	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t21c020i.wav	 workspace/enh_wavs/test2/real/t21c020i.enh.wav	 SQValue=1.927	 1.927	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t21c020j.wav	 workspace/enh_wavs/test2/real/t21c020j.enh.wav	 SQValue=1.937	 1.937	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t21c020k.wav	 workspace/enh_wavs/test2/real/t21c020k.enh.wav	 SQValue=1.763	 1.763	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t21c020m.wav	 workspace/enh_wavs/test2/real/t21c020m.enh.wav	 SQValue=1.877	 1.877	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t21c020n.wav	 workspace/enh_wavs/test2/real/t21c020n.enh.wav	 SQValue=1.652	 1.652	 0.000	 0	 16000	0.0160
 cut_data/Real/cln_et/t21c020o.wav	 workspace/enh_wavs/test2/real/t21c020o.enh.wav	 SQValue=1.838	 1.838	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t21c020q.wav	 workspace/enh_wavs/test2/real/t21c020q.enh.wav	 SQValue=1.558	 1.558	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t22c0202.wav	 workspace/enh_wavs/test2/real/t22c0202.enh.wav	 SQValue=2.386	 2.386	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t22c0205.wav	 workspace/enh_wavs/test2/real/t22c0205.enh.wav	 SQValue=2.483	 2.483	 0.000	 0	 16000	-0.0080
 cut_data/Real/cln_et/t22c0206.wav	 workspace/enh_wavs/test2/real/t22c0206.enh.wav	 SQValue=2.393	 2.393	 0.000	 0	 16000	-0.0080
 cut_data/Real/cln_et/t22c0208.wav	 workspace/enh_wavs/test2/real/t22c0208.enh.wav	 SQValue=2.514	 2.514	 0.000	 0	 16000	-0.0080
 cut_data/Real/cln_et/t22c020b.wav	 workspace/enh_wavs/test2/real/t22c020b.enh.wav	 SQValue=2.360	 2.360	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t22c020d.wav	 workspace/enh_wavs/test2/real/t22c020d.enh.wav	 SQValue=2.094	 2.094	 0.000	 0	 16000	-0.0080
 cut_data/Real/cln_et/t22c020e.wav	 workspace/enh_wavs/test2/real/t22c020e.enh.wav	 SQValue=2.163	 2.163	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t22c020f.wav	 workspace/enh_wavs/test2/real/t22c020f.enh.wav	 SQValue=2.127	 2.127	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t22c020h.wav	 workspace/enh_wavs/test2/real/t22c020h.enh.wav	 SQValue=2.060	 2.060	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t22c020i.wav	 workspace/enh_wavs/test2/real/t22c020i.enh.wav	 SQValue=2.120	 2.120	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t22c020k.wav	 workspace/enh_wavs/test2/real/t22c020k.enh.wav	 SQValue=2.326	 2.326	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t22c020m.wav	 workspace/enh_wavs/test2/real/t22c020m.enh.wav	 SQValue=2.257	 2.257	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t22c020n.wav	 workspace/enh_wavs/test2/real/t22c020n.enh.wav	 SQValue=2.063	 2.063	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t22c020p.wav	 workspace/enh_wavs/test2/real/t22c020p.enh.wav	 SQValue=2.206	 2.206	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t23c0201.wav	 workspace/enh_wavs/test2/real/t23c0201.enh.wav	 SQValue=2.023	 2.023	 0.000	 0	 16000	-0.0040
 cut_data/Real/cln_et/t23c0202.wav	 workspace/enh_wavs/test2/real/t23c0202.enh.wav	 SQValue=1.934	 1.934	 0.000	 0	 16000	-0.0040
 cut_data/Real/cln_et/t23c0203.wav	 workspace/enh_wavs/test2/real/t23c0203.enh.wav	 SQValue=1.899	 1.899	 0.000	 0	 16000	-0.0040
 cut_data/Real/cln_et/t23c020b.wav	 workspace/enh_wavs/test2/real/t23c020b.enh.wav	 SQValue=2.095	 2.095	 0.000	 0	 16000	-0.0040
 cut_data/Real/cln_et/t23c020c.wav	 workspace/enh_wavs/test2/real/t23c020c.enh.wav	 SQValue=2.029	 2.029	 0.000	 0	 16000	-0.0040
 cut_data/Real/cln_et/t23c020d.wav	 workspace/enh_wavs/test2/real/t23c020d.enh.wav	 SQValue=2.147	 2.147	 0.000	 0	 16000	-0.0040
 cut_data/Real/cln_et/t23c020e.wav	 workspace/enh_wavs/test2/real/t23c020e.enh.wav	 SQValue=1.593	 1.593	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t23c020f.wav	 workspace/enh_wavs/test2/real/t23c020f.enh.wav	 SQValue=1.635	 1.635	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t23c020h.wav	 workspace/enh_wavs/test2/real/t23c020h.enh.wav	 SQValue=1.767	 1.767	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t23c020i.wav	 workspace/enh_wavs/test2/real/t23c020i.enh.wav	 SQValue=2.006	 2.006	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t23c020j.wav	 workspace/enh_wavs/test2/real/t23c020j.enh.wav	 SQValue=1.901	 1.901	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t23c020k.wav	 workspace/enh_wavs/test2/real/t23c020k.enh.wav	 SQValue=1.906	 1.906	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t23c020m.wav	 workspace/enh_wavs/test2/real/t23c020m.enh.wav	 SQValue=1.887	 1.887	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t23c020n.wav	 workspace/enh_wavs/test2/real/t23c020n.enh.wav	 SQValue=1.703	 1.703	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t23c020o.wav	 workspace/enh_wavs/test2/real/t23c020o.enh.wav	 SQValue=1.619	 1.619	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t23c020p.wav	 workspace/enh_wavs/test2/real/t23c020p.enh.wav	 SQValue=1.604	 1.604	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t23c020q.wav	 workspace/enh_wavs/test2/real/t23c020q.enh.wav	 SQValue=1.729	 1.729	 0.000	 0	 16000	0.0160
 cut_data/Real/cln_et/t24c0201.wav	 workspace/enh_wavs/test2/real/t24c0201.enh.wav	 SQValue=1.609	 1.609	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t24c0202.wav	 workspace/enh_wavs/test2/real/t24c0202.enh.wav	 SQValue=1.597	 1.597	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t24c0203.wav	 workspace/enh_wavs/test2/real/t24c0203.enh.wav	 SQValue=1.717	 1.717	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t24c0204.wav	 workspace/enh_wavs/test2/real/t24c0204.enh.wav	 SQValue=1.848	 1.848	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t24c0205.wav	 workspace/enh_wavs/test2/real/t24c0205.enh.wav	 SQValue=1.673	 1.673	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t24c0206.wav	 workspace/enh_wavs/test2/real/t24c0206.enh.wav	 SQValue=1.419	 1.419	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t24c0207.wav	 workspace/enh_wavs/test2/real/t24c0207.enh.wav	 SQValue=1.382	 1.382	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t24c0208.wav	 workspace/enh_wavs/test2/real/t24c0208.enh.wav	 SQValue=1.290	 1.290	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t24c0209.wav	 workspace/enh_wavs/test2/real/t24c0209.enh.wav	 SQValue=1.599	 1.599	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t24c020a.wav	 workspace/enh_wavs/test2/real/t24c020a.enh.wav	 SQValue=1.544	 1.544	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t24c020b.wav	 workspace/enh_wavs/test2/real/t24c020b.enh.wav	 SQValue=1.443	 1.443	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t24c020d.wav	 workspace/enh_wavs/test2/real/t24c020d.enh.wav	 SQValue=1.414	 1.414	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t24c020e.wav	 workspace/enh_wavs/test2/real/t24c020e.enh.wav	 SQValue=1.408	 1.408	 0.000	 0	 16000	-0.0040
 cut_data/Real/cln_et/t24c020f.wav	 workspace/enh_wavs/test2/real/t24c020f.enh.wav	 SQValue=1.322	 1.322	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t24c020h.wav	 workspace/enh_wavs/test2/real/t24c020h.enh.wav	 SQValue=1.614	 1.614	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t24c020j.wav	 workspace/enh_wavs/test2/real/t24c020j.enh.wav	 SQValue=1.481	 1.481	 0.000	 0	 16000	0.0080
