DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
t21c0201.enh.wav	 2.089	 0.000	 0	 16000	0.0000
 t21c0202.enh.wav	 1.752	 0.000	 0	 16000	0.0000
 t21c0204.enh.wav	 2.110	 0.000	 0	 16000	-0.0080
 t21c0205.enh.wav	 2.139	 0.000	 0	 16000	0.0000
 t21c0209.enh.wav	 1.823	 0.000	 0	 16000	0.0000
 t21c020b.enh.wav	 2.040	 0.000	 0	 16000	-0.0040
 t21c020d.enh.wav	 2.118	 0.000	 0	 16000	0.0000
 t21c020e.enh.wav	 2.370	 0.000	 0	 16000	-0.0080
 t21c020g.enh.wav	 1.663	 0.000	 0	 16000	0.0080
 t21c020i.enh.wav	 1.927	 0.000	 0	 16000	0.0080
 t21c020j.enh.wav	 1.937	 0.000	 0	 16000	0.0080
 t21c020k.enh.wav	 1.763	 0.000	 0	 16000	0.0080
 t21c020m.enh.wav	 1.877	 0.000	 0	 16000	0.0080
 t21c020n.enh.wav	 1.652	 0.000	 0	 16000	0.0160
 t21c020o.enh.wav	 1.838	 0.000	 0	 16000	0.0120
 t21c020q.enh.wav	 1.558	 0.000	 0	 16000	0.0080
 t22c0202.enh.wav	 2.386	 0.000	 0	 16000	0.0000
 t22c0205.enh.wav	 2.483	 0.000	 0	 16000	-0.0080
 t22c0206.enh.wav	 2.393	 0.000	 0	 16000	-0.0080
 t22c0208.enh.wav	 2.514	 0.000	 0	 16000	-0.0080
 t22c020b.enh.wav	 2.360	 0.000	 0	 16000	0.0000
 t22c020d.enh.wav	 2.094	 0.000	 0	 16000	-0.0080
 t22c020e.enh.wav	 2.163	 0.000	 0	 16000	0.0120
 t22c020f.enh.wav	 2.127	 0.000	 0	 16000	0.0120
 t22c020h.enh.wav	 2.060	 0.000	 0	 16000	0.0040
 t22c020i.enh.wav	 2.120	 0.000	 0	 16000	0.0080
 t22c020k.enh.wav	 2.326	 0.000	 0	 16000	0.0080
 t22c020m.enh.wav	 2.257	 0.000	 0	 16000	0.0080
 t22c020n.enh.wav	 2.063	 0.000	 0	 16000	0.0080
 t22c020p.enh.wav	 2.206	 0.000	 0	 16000	0.0040
 t23c0201.enh.wav	 2.023	 0.000	 0	 16000	-0.0040
 t23c0202.enh.wav	 1.934	 0.000	 0	 16000	-0.0040
 t23c0203.enh.wav	 1.899	 0.000	 0	 16000	-0.0040
 t23c020b.enh.wav	 2.095	 0.000	 0	 16000	-0.0040
 t23c020c.enh.wav	 2.029	 0.000	 0	 16000	-0.0040
 t23c020d.enh.wav	 2.147	 0.000	 0	 16000	-0.0040
 t23c020e.enh.wav	 1.593	 0.000	 0	 16000	0.0000
 t23c020f.enh.wav	 1.635	 0.000	 0	 16000	0.0120
 t23c020h.enh.wav	 1.767	 0.000	 0	 16000	0.0120
 t23c020i.enh.wav	 2.006	 0.000	 0	 16000	0.0040
 t23c020j.enh.wav	 1.901	 0.000	 0	 16000	0.0080
 t23c020k.enh.wav	 1.906	 0.000	 0	 16000	0.0080
 t23c020m.enh.wav	 1.887	 0.000	 0	 16000	0.0080
 t23c020n.enh.wav	 1.703	 0.000	 0	 16000	0.0080
 t23c020o.enh.wav	 1.619	 0.000	 0	 16000	0.0120
 t23c020p.enh.wav	 1.604	 0.000	 0	 16000	0.0120
 t23c020q.enh.wav	 1.729	 0.000	 0	 16000	0.0160
 t24c0201.enh.wav	 1.609	 0.000	 0	 16000	0.0000
 t24c0202.enh.wav	 1.597	 0.000	 0	 16000	0.0000
 t24c0203.enh.wav	 1.717	 0.000	 0	 16000	0.0000
 t24c0204.enh.wav	 1.848	 0.000	 0	 16000	0.0000
 t24c0205.enh.wav	 1.673	 0.000	 0	 16000	0.0000
 t24c0206.enh.wav	 1.419	 0.000	 0	 16000	0.0000
 t24c0207.enh.wav	 1.382	 0.000	 0	 16000	0.0040
 t24c0208.enh.wav	 1.290	 0.000	 0	 16000	0.0000
 t24c0209.enh.wav	 1.599	 0.000	 0	 16000	0.0000
 t24c020a.enh.wav	 1.544	 0.000	 0	 16000	0.0040
 t24c020b.enh.wav	 1.443	 0.000	 0	 16000	0.0000
 t24c020d.enh.wav	 1.414	 0.000	 0	 16000	0.0000
 t24c020e.enh.wav	 1.408	 0.000	 0	 16000	-0.0040
 t24c020f.enh.wav	 1.322	 0.000	 0	 16000	0.0120
 t24c020h.enh.wav	 1.614	 0.000	 0	 16000	0.0120
 t24c020j.enh.wav	 1.481	 0.000	 0	 16000	0.0080
 t24c020k.enh.wav	 1.266	 0.000	 0	 16000	0.0160
 t24c020l.enh.wav	 1.392	 0.000	 0	 16000	0.0080
 t24c020m.enh.wav	 1.700	 0.000	 0	 16000	0.0080
 t24c020n.enh.wav	 1.304	 0.000	 0	 16000	0.0080
 t24c020o.enh.wav	 1.363	 0.000	 0	 16000	0.0080
 t24c020p.enh.wav	 1.526	 0.000	 0	 16000	0.0120
 t24c020q.enh.wav	 1.251	 0.000	 0	 16000	0.0160
 t25c0201.enh.wav	 1.855	 0.000	 0	 16000	-0.0040
 t25c0203.enh.wav	 1.951	 0.000	 0	 16000	0.0000
 t25c0204.enh.wav	 1.505	 0.000	 0	 16000	0.0040
 t25c0205.enh.wav	 1.688	 0.000	 0	 16000	0.0000
 t25c0207.enh.wav	 1.875	 0.000	 0	 16000	-0.0040
 t25c0208.enh.wav	 1.853	 0.000	 0	 16000	0.0040
 t25c0209.enh.wav	 1.656	 0.000	 0	 16000	0.0040
 t25c020b.enh.wav	 1.872	 0.000	 0	 16000	0.0040
 t25c020d.enh.wav	 2.113	 0.000	 0	 16000	0.0040
 t25c020g.enh.wav	 1.837	 0.000	 0	 16000	0.0160
 t25c020h.enh.wav	 1.482	 0.000	 0	 16000	0.0080
 t25c020i.enh.wav	 1.981	 0.000	 0	 16000	0.0160
 t25c020j.enh.wav	 1.504	 0.000	 0	 16000	0.0160
 t25c020l.enh.wav	 1.449	 0.000	 0	 16000	0.0120
 t25c020o.enh.wav	 1.702	 0.000	 0	 16000	0.0160
 t25c020p.enh.wav	 1.845	 0.000	 0	 16000	0.0120
 t25c020r.enh.wav	 1.570	 0.000	 0	 16000	0.0120
 t36c0201.enh.wav	 1.956	 0.000	 0	 16000	0.0000
 t36c0202.enh.wav	 2.145	 0.000	 0	 16000	0.0000
 t36c0203.enh.wav	 2.146	 0.000	 0	 16000	0.0000
 t36c0204.enh.wav	 2.003	 0.000	 0	 16000	0.0000
 t36c0206.enh.wav	 2.000	 0.000	 0	 16000	-0.0040
 t36c0207.enh.wav	 1.705	 0.000	 0	 16000	-0.0040
 t36c0208.enh.wav	 2.107	 0.000	 0	 16000	0.0000
 t36c020g.enh.wav	 1.661	 0.000	 0	 16000	0.0120
 t36c020k.enh.wav	 1.772	 0.000	 0	 16000	0.0080
 t36c020n.enh.wav	 1.538	 0.000	 0	 16000	0.0160
 t37c0202.enh.wav	 2.044	 0.000	 0	 16000	0.0000
 t37c0204.enh.wav	 2.307	 0.000	 0	 16000	-0.0040
 t37c0205.enh.wav	 2.300	 0.000	 0	 16000	-0.0040
 t37c0209.enh.wav	 2.016	 0.000	 0	 16000	0.0000
 t37c020a.enh.wav	 2.301	 0.000	 0	 16000	-0.0040
 t37c020g.enh.wav	 1.806	 0.000	 0	 16000	0.0120
 t37c020h.enh.wav	 1.595	 0.000	 0	 16000	0.0360
 t37c020i.enh.wav	 2.196	 0.000	 0	 16000	0.0120
 t37c020j.enh.wav	 1.758	 0.000	 0	 16000	0.0080
 t37c020l.enh.wav	 1.896	 0.000	 0	 16000	0.0120
 t37c020n.enh.wav	 2.054	 0.000	 0	 16000	0.0120
 t37c020p.enh.wav	 1.782	 0.000	 0	 16000	0.0120
 t37c020r.enh.wav	 1.860	 0.000	 0	 16000	0.0120
 t38c0201.enh.wav	 2.117	 0.000	 0	 16000	0.0000
 t38c0202.enh.wav	 2.225	 0.000	 0	 16000	0.0000
 t38c0203.enh.wav	 2.085	 0.000	 0	 16000	0.0000
 t38c0204.enh.wav	 2.053	 0.000	 0	 16000	0.0000
 t38c0205.enh.wav	 1.907	 0.000	 0	 16000	0.0000
 t38c0206.enh.wav	 1.984	 0.000	 0	 16000	0.0000
 t38c0207.enh.wav	 1.882	 0.000	 0	 16000	-0.0040
 t38c0208.enh.wav	 1.878	 0.000	 0	 16000	0.0000
 t38c0209.enh.wav	 2.270	 0.000	 0	 16000	0.0040
 t38c020a.enh.wav	 2.326	 0.000	 0	 16000	0.0040
 t38c020b.enh.wav	 2.405	 0.000	 0	 16000	0.0040
 t38c020c.enh.wav	 2.353	 0.000	 0	 16000	0.0040
 t38c020d.enh.wav	 2.175	 0.000	 0	 16000	-0.0080
 t38c020e.enh.wav	 2.043	 0.000	 0	 16000	0.0040
 t38c020f.enh.wav	 1.962	 0.000	 0	 16000	0.0080
 t38c020h.enh.wav	 2.046	 0.000	 0	 16000	0.0160
 t38c020i.enh.wav	 1.924	 0.000	 0	 16000	0.0080
 t38c020j.enh.wav	 1.655	 0.000	 0	 16000	0.0120
 t38c020k.enh.wav	 1.852	 0.000	 0	 16000	0.0160
 t38c020l.enh.wav	 2.016	 0.000	 0	 16000	0.0080
 t38c020m.enh.wav	 1.960	 0.000	 0	 16000	0.0120
 t38c020o.enh.wav	 2.030	 0.000	 0	 16000	0.0080
 t38c020r.enh.wav	 1.949	 0.000	 0	 16000	0.0040
 t38c020s.enh.wav	 1.430	 0.000	 0	 16000	0.0040
 t39c0201.enh.wav	 1.410	 0.000	 0	 16000	0.0080
 t39c0202.enh.wav	 1.494	 0.000	 0	 16000	0.0040
 t39c0203.enh.wav	 1.230	 0.000	 0	 16000	0.0120
 t39c0204.enh.wav	 1.193	 0.000	 0	 16000	0.0000
 t39c0205.enh.wav	 1.579	 0.000	 0	 16000	0.0000
 t39c0206.enh.wav	 1.470	 0.000	 0	 16000	0.0040
 t39c0207.enh.wav	 1.306	 0.000	 0	 16000	0.0000
 t39c0208.enh.wav	 1.651	 0.000	 0	 16000	0.0040
 t39c0209.enh.wav	 1.702	 0.000	 0	 16000	0.0000
 t39c020a.enh.wav	 1.329	 0.000	 0	 16000	0.0040
 t39c020b.enh.wav	 1.671	 0.000	 0	 16000	0.0040
 t39c020c.enh.wav	 1.442	 0.000	 0	 16000	0.0040
 t39c020d.enh.wav	 1.727	 0.000	 0	 16000	0.0000
 t39c020e.enh.wav	 1.472	 0.000	 0	 16000	0.0040
 t39c020f.enh.wav	 1.838	 0.000	 0	 16000	0.0120
 t39c020g.enh.wav	 1.516	 0.000	 0	 16000	0.0160
 t39c020h.enh.wav	 1.290	 0.000	 0	 16000	0.0120
 t39c020k.enh.wav	 1.682	 0.000	 0	 16000	0.0160
 t39c020l.enh.wav	 1.335	 0.000	 0	 16000	0.0160
 t39c020n.enh.wav	 1.606	 0.000	 0	 16000	0.0200
 t39c020o.enh.wav	 1.271	 0.000	 0	 16000	0.0200
 t39c020p.enh.wav	 1.805	 0.000	 0	 16000	0.0040
 t39c020q.enh.wav	 1.384	 0.000	 0	 16000	0.0240
 t39c020r.enh.wav	 1.681	 0.000	 0	 16000	0.0120
 t39c020s.enh.wav	 1.559	 0.000	 0	 16000	0.0160
 t40c0201.enh.wav	 1.358	 0.000	 0	 16000	0.0080
 t40c0202.enh.wav	 1.668	 0.000	 0	 16000	0.0080
 t40c0203.enh.wav	 1.826	 0.000	 0	 16000	0.0000
 t40c0204.enh.wav	 1.790	 0.000	 0	 16000	0.0000
 t40c0205.enh.wav	 1.593	 0.000	 0	 16000	0.0000
 t40c0206.enh.wav	 1.363	 0.000	 0	 16000	-0.0080
 t40c0207.enh.wav	 2.007	 0.000	 0	 16000	0.0000
 t40c0208.enh.wav	 1.916	 0.000	 0	 16000	-0.0040
 t40c0209.enh.wav	 1.972	 0.000	 0	 16000	0.0040
 t40c020a.enh.wav	 2.007	 0.000	 0	 16000	0.0040
 t40c020b.enh.wav	 2.071	 0.000	 0	 16000	0.0000
 t40c020c.enh.wav	 1.966	 0.000	 0	 16000	0.0000
 t40c020d.enh.wav	 1.757	 0.000	 0	 16000	-0.0040
 t40c020e.enh.wav	 1.835	 0.000	 0	 16000	-0.0040
 t40c020f.enh.wav	 1.802	 0.000	 0	 16000	0.0160
 t40c020g.enh.wav	 1.912	 0.000	 0	 16000	0.0080
 t40c020h.enh.wav	 1.686	 0.000	 0	 16000	0.0120
 t40c020i.enh.wav	 1.720	 0.000	 0	 16000	0.0080
 t40c020k.enh.wav	 1.559	 0.000	 0	 16000	0.0200
 t40c020l.enh.wav	 1.835	 0.000	 0	 16000	0.0120
 t40c020m.enh.wav	 1.837	 0.000	 0	 16000	0.0080
 t40c020n.enh.wav	 1.611	 0.000	 0	 16000	0.0120
 t40c020o.enh.wav	 1.380	 0.000	 0	 16000	0.0200
 t40c020p.enh.wav	 1.546	 0.000	 0	 16000	0.0120
 t40c020q.enh.wav	 1.703	 0.000	 0	 16000	0.0200
 t40c020r.enh.wav	 1.615	 0.000	 0	 16000	0.0160
 t40c020s.enh.wav	 1.711	 0.000	 0	 16000	0.0200
 t21c0206.enh.wav	 1.723	 0.000	 0	 16000	0.0160
 t21c0207.enh.wav	 1.843	 0.000	 0	 16000	0.0040
 t21c0208.enh.wav	 2.158	 0.000	 0	 16000	-0.0040
 t21c020a.enh.wav	 1.800	 0.000	 0	 16000	0.0040
 t21c020c.enh.wav	 1.845	 0.000	 0	 16000	0.0040
